Category,Recommendation,Location,Notes,Website
Coffee,White Rhino Coffee,Dallas – Uptown,The seasonal drinks are worth trying.,https://example.com/white-rhino
Bars,Katy Trail Ice House,Dallas – Uptown,Works well for an informal team happy hour.,https://example.com/katy-trail-ice-house
Food,The Henry,Dallas – Uptown,Good all-day menu and polished atmosphere.,https://example.com/the-henry
Food,Loro,Dallas – East Dallas,Fast-casual Asian smokehouse with outdoor seating.,https://example.com/loro
Food,Rodeo Goat,Dallas – Design District,A solid option for a team outing.,https://example.com/rodeo-goat
Bars,Midnight Rambler,Dallas – Downtown,Good atmosphere without being too formal.,https://example.com/midnight-rambler
Bars,Katy Trail Ice House,Dallas – Uptown,Large patio and an easy after-work option.,https://example.com/katy-trail-ice-house
Food,Uchi,Dallas – Uptown,Would recommend for a client lunch.,https://example.com/uchi
Food,Rodeo Goat,Dallas – Design District,The patio is especially nice in good weather.,https://example.com/rodeo-goat
Coffee,La La Land Kind Cafe,Dallas – Lower Greenville,Usually easy to find a seat in the morning.,https://example.com/la-la-land
Food,Terry Black's BBQ,Dallas – Deep Ellum,A solid option for a team outing.,https://example.com/terry-blacks
Bars,The Rustic,Dallas – Uptown,"Can get busy, so arrive early.",https://example.com/the-rustic
Food,Meso Maya,Dallas – Downtown,A solid option for a team outing.,https://example.com/meso-maya
Food,Meso Maya,Dallas – Downtown,Reliable Tex-Mex with good group seating.,https://example.com/meso-maya
Bars,Tiny Victories,Dallas – Oak Cliff,Small cocktail bar with a welcoming vibe.,https://example.com/tiny-victories
Food,Sixty Vines,Dallas – Uptown,The patio is especially nice in good weather.,https://example.com/sixty-vines
Food,Rodeo Goat,Dallas – Design District,Great burgers and a relaxed patio.,https://example.com/rodeo-goat
Food,Uchi,Dallas – Uptown,Good vegetarian options.,https://example.com/uchi
Coffee,Ascension Coffee,Dallas – Design District,Convenient for meetings and breakfast.,https://example.com/ascension
Coffee,Houndstooth Coffee,Dallas – Knox-Henderson,Consistently good coffee and space to work.,https://example.com/houndstooth
Food,José,Dallas – Lovers Lane,Beautiful patio and creative Mexican food.,https://example.com/jose
Coffee,Wayward Coffee,Dallas – Oak Cliff,Excellent pour-over and a relaxed vibe.,https://example.com/wayward
Food,José,Dallas – Lovers Lane,Good vegetarian options.,https://example.com/jose
Bars,The Grapevine Bar,Dallas – Oak Lawn,Unpretentious neighborhood favorite.,https://example.com/grapevine
Food,Rodeo Goat,Dallas – Design District,Would recommend for a client lunch.,https://example.com/rodeo-goat
